_id,workup,treatment,symptoms,name,description,other_specific_tests,has_inteli_health_additions
11,A history and physical exam will be performed in addition to the measurement of serum electrolytes to confirm the diagnosis and to help find the cause of the acidosis. ,"Therapy is aimed at treating the cause of the acidosis and reversing the metabolic imbalance. Treatment includes: intravenous fluids, and if very severe, infusion of sodium bicarbonate.","Confusion, nausea, vomiting, rapid breathing.",Acidosis (excessive acid in the body),"A change in the blood's pH to an acidic state. Acidosis can be caused by many different disorders including diabetes out of control (diabetic ketoacidosis/DKA), starvation (especially with alcohol abuse), kidney failure, aspirin overdose, severe infections (sepsis), and severe low blood pressure.",Arterial blood gas (ABG),0
12,A history and physical exam will be performed. A CT scan or MRI of the brain will be done to identify the tumor.,"Therapy depends on the size of the tumor and the symptoms being experienced. Treatment may include: observation, surgical removal, and/or special radiation therapy.","Hearing loss, dizziness, vertigo (room spinning), nausea, vomiting, headache, ringing in ears.",Acoustic neuroma (ear nerve tumor),A benign tumor of the eighth cranial nerve. The eighth cranial nerve connects the brain to the middle ear and is involved in controlling balance and hearing. These tumors usually grow very slowly. They occur most often between 30 and 60 years of age. Left untreated these tumors can cause permanent hearing loss.,,1
13,A history and physical exam will be performed. The diagnosis is made with X-rays and/or MRI.,"Therapy depends on the extent of the ligament tear. Treatment options include: observation, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn), acetaminophen (Tylenol), physical therapy and/or surgical repair.",Shoulder pain and deformity in the top part of the shoulder. Decreased movement of the shoulder.,AC (acromioclavicular) joint separation,"A strain or rupture of the ligament between the clavicle (collar bone) and the shoulder. The injury is graded 1-6, with Grade 6 involving the most damage to the ligament and the surrounding structures. The most common way of injuring the ligament is falling on the shoulder, elbow, or onto an outstretched hand.",,0
14,A history and physical exam will be performed. A full eye exam should also be done.,"Treatment options include laser therapy, medications, and/or surgical repair.","Eye pain, eye redness, headache, nausea, vomiting, loss of sight, tearing.",Acute angle closure glaucoma (increased inner eye pressure),"Increased pressure within the eye. Acute closed angle glaucoma is less common than chronic open angle glaucoma. It is caused by a narrowing in the pathway where aqueous humor (the fluid in the front part of the eye) exits. This fluid accumulates and causes increased pressure which can cause eye pain, nausea, headache, and visual loss.",Tonometry,0
15,"A history and physical exam will be performed. Other tests include monitoring of the baby, and liver function tests.",Delivery of the baby reverses the liver damage.,"Abdominal pain, vomiting, yellow skin, confusion, headache.",Acute fatty liver of pregnancy,A rare life-threatening complication of pregnancy that occurs in the third trimester or the immediate period after delivery. It is thought to be caused by a disordered metabolism in the mother. It can be fatal to the baby or the mother.,,0
16,A history and physical exam will be performed. Testing may be done for strep and mono. ,"Antibiotics are prescribed if the cause is bacterial. Additional therapy includes: nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn), acetaminophen (Tylenol), and observation.","Throat pain and swelling, difficulty swallowing, fever, rarely problems breathing.",Adenoiditis (a type of lymph node inflammation),An inflammation of the adenoid tissue (lymph node tissue) in the back of the nose and throat. The most common cause of the inflammation is an infection. Infections can be caused by bacteria such as group A streptococcus (strep) or a virus such as infectious mononucleosis (mono). Viral infections do not respond to antibiotics and are treated symptomatically.,"Rapid strep, Mono",0
17,"A history and physical exam will be performed. A special viral test may be done, but it is rarely needed.","Therapy is aimed at relieving symptoms and reducing inflammation. Treatment includes: observation, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn), and acetaminophen (Tylenol). Steroids may be prescribed for eye involvement.","Fever, cough, diarrhea, swollen red eyes, rash, breathing problems, ear pain, painful urination.",Adenovirus infection (virus infection),A virus that is a common cause of upper respiratory tract infections. The virus can also cause gastroenteritis and conjunctivitis. These viral infections are common in children and can be very contagious.,,0
18,A history and physical exam will be performed. X-ray or MRI may be needed.,"Therapy is aimed at relieving symptoms, reducing inflammation and improving function (range of motion) of the shoulder. Treatment option includes: cortisone injection, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn), acetaminophen (Tylenol), physical therapy, ultrasound, and/or surgery.","Decreased range of motion and stiffness of the shoulder. Pain with reaching, lifting, and overhead activities. Tenderness may be experienced through the front, side and back of the shoulder. Pain is often worse at night while sleeping.",Frozen shoulder (adhesive capsulitis of shoulder),A loss of range of motion of the shoulder. The decreased motion is present both when the patient attempts to move the shoulder and when the doctor tries to move the shoulder passively. The decreased motion is caused by inflammation and scarring of the shoulder joint. It can occur after a shoulder injury or after prolonged immobilization of the shoulder.,,0
19,A history and physical exam will be performed.,Treatment options include talk therapy and/or medications. Medications used include antidepressants and anti-anxiety medications. ,"Depression, anxiety, desperation, trouble sleeping, nervousness, and agitation.",Adjustment disorder (poor adjustment to life stressor),"A response to stress that results in significant emotional or behavioral symptoms and impairment of function in daily life. The disorder typically causes symptoms of depression, anxiety or both. In severe cases patients may have suicidal thoughts. The symptoms begin within 3 months of a stressful life event.",,0
20,"A history and physical exam will be performed along with other tests which may include: ethanol (alcohol) level, liver function tests, and electrolytes.","Therapy is aimed at supporting vital signs and preventing self-harm. Treatment may include: intravenous fluids, breathing and vital sign support, medications for vomiting, sedatives (benzodiazepines) and antipsychotics.

Alcohol and Drug Helpline: (800) 821-4357 Al-Anon (888) 425-2666
","Confusion, slurred speech, vomiting, breathing problems, incoordination, emotional instability, coma, death.",Alcohol (ethanol) intoxication,"An alteration in thinking, behavior and/or consciousness caused by the consumption of alcohol (ethanol). Can result in impulsive and uninhibited behavior. Alcohol affects people differently. The same amount can have only minimal effects on one person and severely depress the breathing of another.",Ethanol level,0
21,"A history and physical exam will be performed along with other tests which may include: a complete blood count, liver function tests, and electrolytes.","Treatment includes talk therapy, medications, and/or counseling.

Alcohol and Drug Helpline: (800)821-4357 Al-Anon (888)425-2666","Confusion, depression, poor functioning, separation from family.",Alcohol (ethanol) abuse,"A pattern of drinking alcohol (ethanol) that leads to physical harm and/or harm to interpersonal, family or work relationships.",Ethanol level,0
22,"A history and physical exam will be performed along with other tests, which usually include: ethanol (alcohol) level, liver function tests, and electrolytes.
","Therapy is aimed at supporting vital signs and preventing self-harm. Treatment may include: intravenous fluids, breathing and vital sign support, medications for vomiting, sedatives (benzodiazepines) and antipsychotics. 

For more information and help call your local poison center at 1-800-222-1222.

Alcohol and Drug Helpline: (800)821-4357 Al-Anon (888)425-2666","Confusion, slurred speech, vomiting, breathing problems, incoordination, emotional instability, coma, death.",Alcohol (ethanol) poisoning (overdose),"An extreme alteration in thinking, behavior and/or consciousness caused by the consumption of alcohol (ethanol).Typically causes impulsive and uninhibited behavior. Alcohol affects people differently. A particular amount may only make one person act drunk, while be very dangerous to another person possibly causing depressed breathing, coma, and death.","Ethanol level
",0
23,"A history and physical exam will be performed along with other tests which usually include: a complete blood count, liver function tests, and electrolytes.","The mainstay of therapy is sedation, supporting the vital signs, and preventing self-harm. Treatment always includes: intravenous fluids and benzodiazepines (lorazepam/Ativan, chlordiazepoxide (Librium), diazepam/Valium).In some cases, anti-psychotic medications are needed. Thiamine (vitamin B1) and other vitamins are also given intravenously.

Alcohol and Drug Helpline: (800) 821-4357 Al-Anon (888)425-2666","Tremors, sweating, high blood pressure, racing heart, fever, confusion, hallucinations.",Alcohol withdrawal syndrome (mild),"After suddenly stopping alcohol consumption patients can have a wide range of symptoms ranging from tremors and sweating, to seizures, hallucinations, and death. This disorder is more likely to occur in patients who have been drinking daily for weeks to months. The symptoms can begin a few hours to a day after drinking has stopped, and can last for as long as 1-2 weeks. ",Ethanol level,1
24,"A history and physical exam will be performed along with other tests, which usually include: a complete blood count, electrolytes, blood acidity level, and liver function tests.","Treatment consists of the infusion of an intravenous sugar solution to re-establish the normal metabolism of glucose and to reverse the dehydration. 
Thiamine (vitamin B1) and other vitamins are also given intravenously.

Alcohol and Drug Helpline: (800)821-4357 Al-Anon (888)425-2666","Vomiting, abdominal pain, diarrhea, confusion, seizures, shortness of breath, and fainting.",Alcoholic ketoacidosis (complication of heavy alcohol use),"Produces too many ketones in the blood resulting in the blood becoming too acidotic. The syndrome occurs most often in people that drink very heavily (binge drinking), don't eat and have persistent vomiting. The vomiting can result in severe dehydration, which can worsen the effects of the acidosis.","Ethanol Level, Ketones, Arterial Blood Gas",0
25,"A history and physical exam will be performed along with other tests which may include: a complete blood count, liver function tests, blood sugar, and electrolytes.","Treatment includes individual and/or group counseling (such as AA), talk therapy ,and/or medications. 

Alcohol and Drug Helpline: (800)821-4357 Al-Anon (888)425-2666","Weakness, impaired thinking, poor decision making, depression, separation from family.",Alcoholism,"A physical and mental dependence on alcohol, sometimes resulting in chronic disease and the loss of interpersonal, family and work relationships. Continued daily use can result in permanent damage to the liver (cirrhosis). Other long term effects include: anemia, internal bleeding, impaired thinking, confusion, coma, multiple cancers, and premature death. ",Ethanol level,1
26,A history and physical exam will be performed. Allergy testing may be done to determine the allergen causing the reaction.,"Therapy depends on the severity of the symptoms. Treatment includes: antihistamines (diphenhydramine/Benadryl), steroids, histamine 2 blockers (cimetidine/Tagamet, ranitidine/Zantac), epinephrine, intravenous fluids, and/or oxygen. One must avoid the cause of the reaction.","Hives, other rashes, itching, swelling, mouth swelling, throat swelling, sneezing, wheezing, shortness of breath, dizziness or fainting from low blood pressure.",Allergic reaction,"An abnormal response of the immune system of the body to some type of foreign substance. The substance that triggers the allergic reaction is called an allergen. Initial contact with the allergen does not produce any symptoms. However, with time the immune system begins to form antibodies to the allergen. Future interactions with the allergen trigger more dramatic responses. The response to these sensitizing allergens varies from sneezing to respiratory difficulty, shock, and death.",,0
27,A history and physical exam will be performed. ,"Treatment includes: antihistamines, decongestants, and/or corticosteroid nasal sprays. Patients are encouraged to avoid known irritants and triggers of the symptoms.","Nasal congestion, sneezing, runny nose, cough. ",Allergic rhinitis (allergic reaction in the nose),"Inflammation of the mucus membranes of the nose and upper respiratory tract can occur in response to an irritant. In allergic rhinitis, the hypersensitive response of the immune system occurs in response to airborne allergens. This is a common disorder, affecting at least a quarter of the population. ",,1
28,A history and physical exam will be performed. Allergy testing may be done to determine the allergen causing the reaction.,"Treatment for mild to moderate allergic reactions may include: antihistamines (diphenhydramine/Benadryl) and a corticosteroid (prednisone). More severe reactions can be treated with epinephrine (adrenalin), histamine 2 blockers (cimetidine/Tagamet, ranitidine/Zantac), intravenous fluids, and/or oxygen.

Asthma and Allergy Foundation of America: (800)727-8462","Hives, other rashes, swelling, mouth swelling, throat swelling, wheezing, breathing problems, vomiting, fainting, low blood pressure.",Allergy,"An allergy is an abnormal response of the immune system of the body to some type of foreign substance. The substance that triggers the allergic reaction is called an allergen. Initial contact with the allergen does not produce any symptoms. However, with time the immune system begins to form antibodies to the allergen. Future interactions with the allergen trigger more dramatic responses. The response to these sensitizing allergens varies from mild sneezing to respiratory difficulty, shock, and death.",,0
29,"A history and physical exam will be performed. Blood tests may include: a complete blood count, sugar level, electrolytes, liver and kidney function tests, cultures of blood and urine to look for infection. Usually a CT scan or MRI of the brain is done.","The goal of therapy is to first support vital body functions. This often includes intravenous fluids and oxygen if needed. At the same time, treatment is started to reverse identified offending problems. Protection from self-harm is also important. ","Altered thinking, difficulty concentrating, strange behavior, excessive sleepiness, decreased arousal.",Confusion (altered mental status),"A change in awareness of a person's surroundings and/or impaired mental functioning. Also known as altered mental status. Treatable causes include: infection, adverse drug reaction, very high or very low blood sugar, low oxygen level, a blood electrolyte imbalance. ","Toxicology screen, ethanol level, aspirin level",0
30,"A history and physical exam will be performed. Blood tests may include: a complete blood count, sugar level, electrolytes, liver and kidney function tests, cultures of blood and urine to look for infection. Usually a CT scan or MRI of the brain is done.","The goal of therapy is to first support vital body functions. This often includes intravenous fluids and oxygen if needed. At the same time, treatment is started to reverse identified offending problems. Protection from self-harm is also important.","Altered thinking, difficulty concentrating, strange behavior, excessive sleepiness, decreased arousal.",Altered mental status (confusion),"A change in awareness of a person's surroundings and/or impaired mental functioning. Also known as altered mental status. Treatable causes include: infection, adverse drug reaction, very high or very low blood sugar, low oxygen level, a blood electrolyte imbalance. ","Toxicology screen, ethanol level, aspirin level",0
31,"A history and physical exam will be performed. Blood tests, oxygen saturation measurement and a head CT scan may be needed if symptoms do not rapidly improve.","Treatment includes: oxygen, taking the patient down to a lower elevation, acetazolamide (Diamox), and/or dexamethasone (Decadron).","Nausea, vomiting, headache, shortness of breath, dizziness, poor sleeping, confusion.",Altitude illness,"When someone travels to a higher altitude there is less oxygen available to breathe. Most people do not have any symptoms besides decreased exercise tolerance. Some patients can actually become ill with symptoms ranging from nausea and headache to significant shortness of breath and confusion.  Although rare, in its most serious form patients can have a fluid buildup in their lungs (pulmonary edema) and/or in their brains (cerebral edema). This condition usually does not occur until one travels above 8,000 feet. Exercising immediately after going to altitude increases the likelihood of acquiring this disorder.",,1
32,A history and physical exam will be performed. Stool analysis and/or serum antibodies will be done to detect Entamoeba histolytica. Other tests such as a CT scan or MRI may be necessary if an amoebic liver abscess is suspected.,"Medications used for treatment include metronidazole, paromomycin, iodoquinol, or diloxanide furoate. Drainage of a liver abscess is sometimes necessary.","Diarrhea, abdominal pain, fever, yellowing skin.",Amebiasis (ameba infection),"An infection of the intestine, liver, or other tissues by the organism Entamoeba histolytica. The infection is acquired by ingesting food or water contaminated by infected feces.","Stool studies, Serum antibody",1
33,A history and physical exam will be performed. Additional lab tests may be done to rule out organ damage.,"Depends on severity of symptoms but can include antipsychotics (haloperidol), benzodiazepines (diazepam, lorazepam) and intravenous fluids. Psychological counseling for addiction is often warranted. 

For more information and help call your local poison center at 1-800-222-1222.","Excitement, increased confidence, raised blood pressure, pupil dilation, sweating, restlessness, difficulty sleeping, anxiety, irritability, psychotic symptoms, aggression, violence, seizures, fever, paranoia, hallucinations, severe anxiety, depression, suicide, exhaustion, malnutrition.",Amphetamine abuse,"Amphetamine (Methamphetamine) is a powerful stimulant that can cause a euphoric feeling in some users and goes by the street names ""speed"", ""meth"" and ""chalk"". The drug is very addictive and abuse leads to memory loss, aggression, psychotic behavior, heart damage, malnutrition, and severe dental problems. Amphetamines can be taken by mouth, smoked, injected, or inhaled. The chronic user can suffer severe psychological and medical damage.",Toxicology screen,0
34,A history and physical exam will be performed. Additional lab tests may be performed to rule out organ damage.,"Depends on severity of symptoms but can include antipsychotics (haloperidol), benzodiazepines (diazepam, lorazepam) and intravenous fluids. Psychologic counseling for addiction is often warranted. 

For more information and help call your local poison center at 1-800-222-1222.","Excitement, increased confidence, elevated blood pressure, pupil dilation, sweating, restlessness, difficulty sleeping, anxiety, irritability, psychotic symptoms, aggression, violence, seizures, fever, paranoia, hallucinations, severe anxiety, depression, suicide, exhaustion, malnutrition.",Amphetamine overdose,"Amphetamine (Methamphetamine) abuse leads to memory loss, aggression, psychotic behavior, heart damage, malnutrition, and severe dental problems. The chronic user can suffer severe psychological and medical damage. An overdose can cause severe agitation, seizure and death.",Toxicology screen,0
35,A history and physical exam will be performed along with a CT scan and colonoscopy to determine extent of disease and presence of metastasis.,"Depends on extent of disease, but may include surgical resection, chemotherapy and/or radiation therapy.

For more information call the American Cancer Society: (800)227-2345","Rectal pain, constipation, abdominal pain, bloody stool, fatigue, thinning of stools.",Anal cancer,Anal cancer is a disease in which malignant (cancer) cells form in the tissues of the anus. The opening at the end of the rectum that allows feces to leave the body. Infection with the human papilloma virus is a leading cause of this cancer. Anal cancer is often discovered early and only rarely spreads (metastasizes) to other areas of the body. ,Colonoscopy,0
36,A history and physical exam will be performed. Additional tests may include an anoscopy.,"Treatment may include: stool softeners, addition of bulk into diet (substances that absorb water while in the intestinal tract), cleansing more gently, petroleum jelly, sitz bath, anesthetic ointment, and/or topical muscle relaxants.","Rectal pain, constipation, bloody stool.",Anal fissure (tear),"A tear in the lining of the lower anal canal. Most anal fissures happen when a large, hard stool overstretches the anal opening and tears the delicate inner lining.",,0
37,A history and physical exam will be performed to determine the offending agent.,"Treatment includes: antihistamines (diphenhydramine/Benadryl), histamine 2 blockers (cimetidine/Tagamet, ranitidine/Zantac), steroids, epinephrine, and intravenous fluids.","Rash, itching, throat swelling, facial swelling, wheezing, shortness of breath, dizziness or fainting from low blood pressure.",Anaphylactoid reactions (pseudo allergic reaction),"Not a true allergic reaction. Instead, anaphylactoid reactions are caused by the direct release of the same substances that cause allergic reactions. The  symptoms range from a rash to life threatening anaphylaxis. Intravenous contrast dye and nonsteroidal anti-inflammatory drugs such as ibuprofen are two well-described causes.",,0
38,A history and physical exam will be performed to determine the offending agent.,"Immediate treatment is needed. Treatment includes: antihistamines (diphenhydramine/Benadryl), histamine 2 blockers (cimetidine/Tagamet, ranitidine/Zantac), corticosteroids, epinephrine, and intravenous fluids.","Extensive hives, severe swelling of face and/or throat, wheezing, shortness of breath, dizziness or fainting from low blood pressure, death.",Anaphylaxis (severe/life threatening allergic reaction),"A severe allergic reaction that occurs rapidly and causes a life-threatening response involving the whole body. This reaction can lead to difficulty breathing and shock, ultimately leading to death. An allergic reaction is an abnormal response of the immune system of the body to some type of foreign substance. The substance that triggers the allergic reaction is called an allergen. Initial contact with the allergen may not produce any symptoms. However, with time the immune system begins to form antibodies to the allergen. Future interactions with the allergen trigger more dramatic responses.",,1
39,"A history and physical exam will be performed, along with a complete blood count (CBC). Additional blood tests are almost always needed. Sometimes doctors need to do a bone marrow biopsy to determine cause.","Therapy is aimed at reversing cause of the bleeding or deficiency, and treating the low red blood cell count. Treatment may include: iron, vitamins such as B12 and folic acid and/or blood transfusions.

For additional information contact the National Heart, Lung and Blood Institute Health Information Center at: http://www.nhlbi.nih.gov or call (301) 592-8573.
","Weakness, fatigue, pale skin, shortness of breath, lightheadedness, fainting.",Anemia (low red blood cell count),"A condition that develops when the blood lacks enough red blood cells. These cells are the main transporters of oxygen to organs. There are three main causes of anemia: blood loss, destruction of blood cells in the body, or abnormal production of red blood cells. Iron deficiency is the most common cause of anemia. Other disorders associated with anemia include vitamin deficiencies, sickle cell disease, cancer, and many chronic conditions (known as anemia of chronic disease). ","Bone marrow biopsy. Iron, B12 and other blood tests",0
40,"A physical examination of the laceration will be performed. An X-ray may be done to look for a foreign body such as dirt, wood or glass.","Repair of the skin laceration with sutures. Underlying tendon, nerve or vessels are repaired if necessary. Ankle lacerations should be repaired within 12 hours to prevent infection. While waiting for treatment the laceration can be cleaned with running water and covered with gauze or a clean cloth. Pressure on the wound can be applied to stop bleeding. If the bleeding is profuse consider calling 911. A tetanus shot may be needed.","Pain, bleeding, weakness, numbness.",Ankle laceration (cut in skin),"Can be simple involving only the skin or complex with injury to tendons, nerves and/or blood vessels. With tendon lacerations, there is weakness in the part of the extremity (ankle, foot or toe) normally moved by the tendon, and with nerve damage, numbness is experienced beyond the laceration.",,0
41,A history and physical exam will be performed. Blood tests and X-rays will be done to identify the cause of the swelling. A LENI (lower extremity non-invasive) test using ultrasound may be done to rule out a blood clot (deep vein thrombosis or DVT). If there is fluid in the joint a needle may be inserted into the joint for analysis (arthrocentesis).,"Depends on the cause of the swelling. Treatments may include elevation, diuretics (water pills), blood thinners, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve), acetaminophen (Tylenol), immobilization, or antibiotics.","Both ankles -- usually swelling without pain. One ankle only -- pain, swelling, redness, increased warmth, decreased movement.",Ankle swelling,"If both ankles are swollen, possibilities include abnormal veins (venous insufficiency), heart failure, kidney disease, advanced liver disease. If only one ankle is swollen, causes to consider are ankle sprain, other ankle injury, a blood clot in a vein (deep vein thrombosis), infection, gout, and other joint inflammation.","Arthrocentesis, NIVA (noninvasive vascular assessment)",0
42,A history and physical exam will be performed. Additional blood tests and X-rays may be taken.,"Treatment may include: nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve), acetaminophen (Tylenol), exercise, sulfasalazine, methotrexate, biological therapy and/or immunotherapy. ","Back pain, neck pain, stiffness, fatigue, forward curvature of the spine, and rarely eye pain and redness.",Ankylosing spondylitis (severe spine arthritis),"A type of arthritis that affects the sacroiliac joint and spine. Symptoms include pain and stiffness that often starts in the low back. It can progressively affect the entire spine from the neck down. The spine's bones (vertebrae) may fuse together, resulting in a rigid spine. These changes may be mild or severe. Ankylosing spondylitis can also cause pain and stiffness in other joints, such as the hips and knees. The disorder is more common in males in the 20 to 40 year age range.",HLA-B27 ,1
43,"A history and physical exam will be performed. If malaria is suspected, a small sample of blood is examined under the microscope to look for parasite.","Symptomatic treatment includes antihistamines for itching, and cold compresses. If malaria is present, anti-malarial drugs will be used.","Local swelling and itching, fever and body aches if malaria is present.",Anopheles mosquito bite,"There are many different types of mosquitos. A bite from one particular mosquito, the anopheles mosquito, can cause malaria.  The anopheles mosquito acquires the parasite (Plasmodium) that causes malaria by biting an infected person. Once the mosquito carries the parasite it can now infect other people after biting them. Malaria is most commonly found in Central and South America, Africa, and Asia.",,0
44,A history and physical exam will be performed including a rectal exam and possibly anoscopy. If the abscess is large a CT scan may be done to identify the extent of the abscess.,Incision and drainage of the abscess. If the abscess is large or into the deep tissue surgery may be required. The abscess is typically packed with gauze and the dressing is changed every 1-2 days until the area heals. Antibiotics may be given.,"Painful bowel movements, tender lump or swelling at the edge of the anus, fever, discharge of pus from the rectum.",Anorectal (perirectal) abscess,A collection of pus in the anal or rectal region. Most common between ages 20 and 40. Men are affected more often than women. The most common cause is a blocked anal gland that becomes infected with bacteria.,,0
45,A history and physical exam will be performed. Lab tests will be done to rule out consequences of malnutrition.,"Therapy is aimed at reversing the immediate damage and psychological evaluation. Treatment includes: intravenous feeding, intravenous fluids, psychological counseling, and antidepressants.","Unreasonable fear of getting fat, greater than 15% loss of weight, depression, excessive exercise, loss of menstrual cycle, malnutrition.",Anorexia (eating disorder),"Patients have a distorted self-perception of their body, think they are overweight, and have an irrational fear of becoming obese. This disorder can be very serious and patients can become dangerously underweight and malnourished. Anorexia is also called anorexia nervosa and is most often seen in women in their teenage and early adult years. ",,1
46,A history and physical exam will be performed. Lab tests will be done to rule out consequences of malnutrition.,"Therapy is aimed at reversing the immediate damage and psychological evaluation. Treatment includes: intravenous feeding, intravenous fluids, psychological counseling, and antidepressants.","Unreasonable fear of getting fat, greater than 15% loss of weight, depression, excessive exercise, loss of menstrual cycle, malnutrition.",Anorexia nervosa (eating disorder),"Patients have a distorted self-perception of their body, think they are overweight, and have an irrational fear of becoming obese. This disorder can be very serious and patients can become dangerously underweight and malnourished. Anorexia is also called anorexia nervosa and is most often seen in women in their teenage and early adult years. ",,0
47,A history and physical exam will be performed.,"Symptomatic treatment includes antihistamines for itching, cold compresses, and nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve),acetaminophen(Tylenol).",Localized swelling and itching.,Ant bite,"Ant bites can cause local irritation, itching, and allergic reactions.",,0
